Id,Name,ViewerUrl,EmbedUrl,EditUrl
6a42e25d-09a0-49fa-8552-ad310186195d,Bob_5678,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6a42e25d-09a0-49fa-8552-ad310186195d,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=6a42e25d-09a0-49fa-8552-ad310186195d&edit=true
f867cc98-ef99-4f93-9218-ad31018617b6,Adam_1234,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f867cc98-ef99-4f93-9218-ad31018617b6,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=f867cc98-ef99-4f93-9218-ad31018617b6&edit=true
e1e8efc4-3f72-4370-959a-ad3101856d83,Bob_5678,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e1e8efc4-3f72-4370-959a-ad3101856d83,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=e1e8efc4-3f72-4370-959a-ad3101856d83&edit=true
bbb63b3e-57d4-4170-b060-ad3101856be4,Adam_1234,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=bbb63b3e-57d4-4170-b060-ad3101856be4,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=bbb63b3e-57d4-4170-b060-ad3101856be4&edit=true
4c6a4c96-fb23-4e14-8974-ad31016f1067,Bob_5678,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4c6a4c96-fb23-4e14-8974-ad31016f1067,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4c6a4c96-fb23-4e14-8974-ad31016f1067&edit=true
62523729-d04f-4986-9a46-ad31016f0ed8,Adam_1234,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=62523729-d04f-4986-9a46-ad31016f0ed8,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=62523729-d04f-4986-9a46-ad31016f0ed8&edit=true
9c5fd203-290e-485f-8b82-ad31016de911,Bob_5678,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9c5fd203-290e-485f-8b82-ad31016de911,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=9c5fd203-290e-485f-8b82-ad31016de911&edit=true
1fce2651-b1af-4245-b05a-ad31016de791,Adam_1234,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1fce2651-b1af-4245-b05a-ad31016de791,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=1fce2651-b1af-4245-b05a-ad31016de791&edit=true
04601e3b-b95b-4942-a38d-ad31016d080d,Bob_5678,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=04601e3b-b95b-4942-a38d-ad31016d080d,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=04601e3b-b95b-4942-a38d-ad31016d080d&edit=true
0deb2566-b87d-4dd4-889d-ad31016d065f,Adam_1234,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=0deb2566-b87d-4dd4-889d-ad31016d065f,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=0deb2566-b87d-4dd4-889d-ad31016d065f&edit=true
5068df91-4732-4feb-895d-ad31014626bb,Bob_5678,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5068df91-4732-4feb-895d-ad31014626bb,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=5068df91-4732-4feb-895d-ad31014626bb&edit=true
27151031-d74f-43f4-ac03-ad31014624f2,Adam_1234,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=27151031-d74f-43f4-ac03-ad31014624f2,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=27151031-d74f-43f4-ac03-ad31014624f2&edit=true
fb21a9f0-82f0-49ad-a883-ad2f0053bdc2,Bob_5678,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fb21a9f0-82f0-49ad-a883-ad2f0053bdc2,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=fb21a9f0-82f0-49ad-a883-ad2f0053bdc2&edit=true
d50a9698-90ee-4ca7-a63d-ad2f0053bbcb,Adam_1234,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d50a9698-90ee-4ca7-a63d-ad2f0053bbcb,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=d50a9698-90ee-4ca7-a63d-ad2f0053bbcb&edit=true
92ed75aa-b103-493a-92ac-ad2f004cef10,Bob_5678,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=92ed75aa-b103-493a-92ac-ad2f004cef10,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=92ed75aa-b103-493a-92ac-ad2f004cef10&edit=true
28051604-dab8-4f69-95c5-ad2f004ced50,Adam_1234,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=28051604-dab8-4f69-95c5-ad2f004ced50,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=28051604-dab8-4f69-95c5-ad2f004ced50&edit=true
3e1e81fa-cd11-4347-8f8a-ad160107aafc,example.mp4,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=3e1e81fa-cd11-4347-8f8a-ad160107aafc,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=3e1e81fa-cd11-4347-8f8a-ad160107aafc&edit=true
4d32c3dd-e8e5-45e9-9503-ad16010352b1,Primary video only,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4d32c3dd-e8e5-45e9-9503-ad16010352b1,,https://sauderlearningservices.hosted.panopto.com/Panopto/Pages/Viewer.aspx?id=4d32c3dd-e8e5-45e9-9503-ad16010352b1&edit=true
